PROYECTO,EMPLAZAMIENTO,ID PROPIETARIO,ZONA DE CONCURRENCIA,LONGITUD,LATITUD,CODIGO MUNICIPIO 
TSI-068100-2024-0084,06_06123_000503,83770,Badajoz,-7.13047280_ ,39.35334924_ ,6123
TSI-068100-2024-0084,06_06082_000361,88956,Badajoz,-5.92766069_ ,38.93335161_ ,6082
TSI-068100-2024-0084,06_06119_000501,87808,Badajoz,-6.17801987_ ,38.94348055_ ,6119
TSI-068100-2024-0084,06_06109_000485,87722,Badajoz,-5.66987996_ ,38.73174002_ ,6109
TSI-068100-2024-0084,06_06120_000509,87837,Badajoz,-6.01202906_ ,39.01769126_ ,6120
TSI-068100-2024-0084,06_06079_000355,88908,Badajoz,-6.01827335_ ,38.80956598_ ,6079
TSI-068100-2024-0084,06_06027_000192,88294,Badajoz,-6.31998030_ ,38.30267343_ ,6027
TSI-068100-2024-0084,06_06025_000187,88278,Badajoz,-6.39327952_ ,38.89444262_ ,6025
TSI-068100-2024-0084,06_06081_000360,88951,Badajoz,-6.40487248_ ,38.34687604_ ,6081
TSI-068100-2024-0084,06_06022_000180,88246,Badajoz,-6.49181131_ ,38.37627026_ ,6022
TSI-068100-2024-0084,06_06075_000348,SPA-BA05805,Badajoz,-5.74976462_ ,38.90221189_ ,6075
TSI-068100-2024-0084,06_06052_000267,88640,Badajoz,-6.29608134_ ,38.25171161_ ,6052
TSI-068100-2024-0084,06_06101_000428,28236,Badajoz,-5.51249202_ ,38.50718417_ ,6101
TSI-068100-2024-0084,06_06102_000471,SPA-BA00330,Badajoz,-5.25959611_ ,38.97871118_ ,6048
TSI-068100-2024-0084,06_06131_000535,87918,Badajoz,-6.74806448_ ,38.67198603_ ,6131
TSI-068100-2024-0084,06_06070_000312,sin info_BA1063,Badajoz,-6.80946264_ ,38.37646481_ ,6070
TSI-068100-2024-0084,06_06001_000001,39490,Badajoz,-5.57058131_ ,39.07765335_ ,6001
TSI-068100-2024-0084,06_06070_000317,88805,Badajoz,-6.77993813_ ,38.31036873_ ,6070
TSI-068100-2024-0084,06_06146_000558,87995,Badajoz,-5.80087308_ ,38.69690092_ ,6146
TSI-068100-2024-0084,06_06013_000308,100926,Badajoz,-6.48013187_ ,38.33415545_ ,6013
TSI-068100-2024-0084,06_06024_000186,88251,Badajoz,-6.42633768_ ,38.08122230_ ,6024
